GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018
0100000US,,United States,310M400US21340,21340,"United States - El Paso, TX Metro Area","El Paso, TX Metro Area",804123,804129,807127,823628,836273,835087,838300,837500,842260,845145,845553
0100000US,,United States,310M400US21420,21420,"United States - Enid, OK Metro Area","Enid, OK Metro Area",60580,60580,60736,60755,61410,62387,62814,63285,62446,61492,60913
0100000US,,United States,310M400US21500,21500,"United States - Erie, PA Metro Area","Erie, PA Metro Area",280566,280584,280797,281296,281523,280724,279437,278182,276289,273892,272061
0100000US,,United States,310M400US21660,21660,"United States - Eugene, OR Metro Area","Eugene, OR Metro Area",351715,351704,351923,354005,355081,355506,358076,362047,369061,375617,379611
0100000US,,United States,310M400US21780,21780,"United States - Evansville, IN-KY Metro Area","Evansville, IN-KY Metro Area",311552,311548,311802,312676,313431,314360,314897,315001,315307,314960,314672
0100000US,,United States,310M400US21820,21820,"United States - Fairbanks, AK Metro Area","Fairbanks, AK Metro Area",97581,97585,98260,98104,100305,100928,99256,99630,100683,99725,98971
0100000US,,United States,310M400US22020,22020,"United States - Fargo, ND-MN Metro Area","Fargo, ND-MN Metro Area",208777,208777,209450,213197,217592,223354,227791,232880,237254,241619,245471
0100000US,,United States,310M400US22140,22140,"United States - Farmington, NM Metro Area","Farmington, NM Metro Area",130044,130045,130202,129694,129748,129468,129094,128261,127973,126902,125043
0100000US,,United States,310M400US22180,22180,"United States - Fayetteville, NC Metro Area","Fayetteville, NC Metro Area",366383,366323,374691,379931,380443,384140,383971,384006,386273,385380,387094
0100000US,,United States,310M400US22220,22220,"United States - Fayetteville-Springdale-Rogers, AR-MO Metro Area","Fayetteville-Springdale-Rogers, AR-MO Metro Area",463204,463202,465374,475749,485274,493819,503423,514579,526522,538412,549128
0100000US,,United States,310M400US22380,22380,"United States - Flagstaff, AZ Metro Area","Flagstaff, AZ Metro Area",134421,134431,134618,134269,136152,136713,137583,139024,140515,141107,142854
0100000US,,United States,310M400US22420,22420,"United States - Flint, MI Metro Area","Flint, MI Metro Area",425790,425789,424951,421976,418167,415634,412868,410470,408901,407673,406892
