,venue_name,id,capacity,street,zip,latitude,longitude,metro_area,country,city_name
12287,City Winery Nashville,4338915,,609 Lafayette St,37203,36.1522,-86.77636,Nashville,US,Nashville
12288,Majestic Theatre,30178,600.0,115 King Street,53703,43.074528,-89.3807714,Madison,US,Madison
12289,Majestic Theatre,955,1000.0,4120 Woodward Avenue,48201,42.35113,-83.06013,Detroit,US,Detroit
12290,Majestic Theatre,528,,224 East Houston Street,78205,29.4264884,-98.4906252,San Antonio,US,San Antonio
12291,Majestic Theatre,498771,,1925 Elm Street,75201,32.78236,-96.7949,Dallas - Fort Worth,US,Dallas
12292,Majestic Theatre,343456,,115 Southwest 2nd Street,97333,44.563616,-123.259662,Salem,US,Corvallis
12293,"Garden Bowl, Majestic Theatre",140308,,4120 Woodward Ave.,48202,42.351053,-83.0602999,Detroit,US,Detroit
12296,Majestic Theatre-mi,4012404,,,48201,42.3485,-83.0603,Detroit,US,Detroit
12298,Majestic Theatre-wi,4012264,,,53703,43.08332,-89.37248,Madison,US,Madison
12299,"Cutler Majestic Theatre, Emerson College",37941,,219 Tremont St.,02116,42.35158,-71.06482,Boston / Cambridge,US,Boston
12300,Majestic Theatre,239108,,1027 North Forest Street,98225,48.745578,-122.479727,Seattle,US,Bellingham
12303,Majestic Theatre,71972,,245 West 44th Street,10036,40.7584004,-73.9882148,New York,US,New York
12304,Majestic Theatre,74664,,,,,,Buffalo,US,North Tonawanda
12307,The Majestic Theatre,338161,,,,,,Tulsa,US,Tulsa
12311,Marcus Majestic Bistro Theatre,2015754,,,,43.0605671,-88.1064787,Milwaukee,US,Brookfield
12312,The Majestic Café,555676,,4120 Woodward Avenue,48201,42.351053,-83.0602999,Detroit,US,Detroit
12313,Benedum Center for the Performing Arts,958,,803 Liberty Ave.,15222,40.44278,-79.99914,Pittsburgh,US,Pittsburgh
12314,Brooklyn Bowl,493846,600.0,61 Wythe Avenue,11249,40.72188,-73.95739,New York,US,Brooklyn
12315,Autumn Bowl,2025984,,73 West Street,11222,40.7289116,-73.9591124,New York,US,Brooklyn
12316,Cuisine En Locale / Once,4012924,,,02143,42.3876,-71.0995,Boston / Cambridge,US,Somerville
12317,River Spirit Casino - Tulsa,3531034,,8330 Riverside Pkwy,74137,36.04157,-95.96265,Tulsa,US,Tulsa
12318,River Spirit Casino,1274086,,8330 Riverside Pkwy,74137,36.046355,-95.965659,Tulsa,US,Tulsa
12319,Mystic River Lounge at River Spirit Casino,1531603,,8330 Riverside Pkway,74137,36.046355,-95.965659,Tulsa,US,Tulsa
12320,River Spirit Casino Event Center,2936933,,8330 S Riverside Drive,74136,36.0704108,-95.9812194,Tulsa,US,Tulsa
12321,River Spirit Casino Resort,4286404,,8330 Riverside Parkway,74137,36.04083,-95.96244,Tulsa,US,Tulsa
12322,"Howard Gilman Opera House, BAM",34151,2090.0,"Peter Jay Sharp Building, 30 Lafayette Avenue",11217,40.6864624,-73.9777052,New York,US,Brooklyn
12323,Howard Gilman Opera House,4277264,,,11217,40.68156,-73.9786,New York,US,Brooklyn
12324,Brooklyn Academy of Music - Howard Gilman Opera House,4142489,,30 Lafayette Avenue,,40.68653,-73.97768,New York,US,Brooklyn
12325,Hudson Theatre,106163,,145 West 44th Street,10036,40.75694,-73.98487,New York,US,New York
12326,"Maureen Stapleton Theatre, Hudson Valley Community College",1919809,,80 Vandenburgh Ave.,12180,42.696908,-73.682303,Springfield,US,Troy
12327,The Walter Reade Jr. Theatre at The Storm King School,2452124,,314 Mountain Road,12520,41.4232307,-74.0124407,New York,US,Cornwall-on-Hudson
12328,Hudson Guild Theatre,3046899,,441 West 26th Street,10001,40.749552,-74.0022443,New York,US,New York
12329,Varsity Theater,5546,900,1308 Fourth St. S.E.,55414,44.98081,-93.23684,Twin Cities,US,Minneapolis
12330,Brandon Amphitheater,3774139,,8190 Rock Way,39042,32.28822,-90.01933,Jackson,US,Brandon
12331,"Yardley Hall, Carlsen Center, Johnson County Community College",4525,,12345 College Blvd.,66210,38.9249,-94.72686,Overland Park,US,Overland Park
12332,Daytona Bandshell,77455,5000,70 Boardwalk,32118,29.2287,-81.00771,Orlando,US,Daytona Beach
12333,The Parish Room,3025674,,,78701,30.27292,-97.74439,Austin,US,Austin
12335,Warnor's Theatre,36512,,1400 Fulton St.,93721,36.73836,-119.79464,Fresno,US,Fresno
12336,North Carolina Museum Of Art,53167,,2110 Blue Ridge Road,27607,35.81011,-78.70237,Raleigh,US,Raleigh
12337,Oriental Theatre-co,4012699,,,80212,39.77526,-105.0499,Denver,US,Denver
12338,Cafe DaVinci,316041,,112 W. Georgia Ave.,32720,29.02696,-81.30409,Deland,US,Deland
12340,The Strat Theater,4172004,,,89104,36.14975,-115.07625,Las Vegas,US,Las Vegas
12341,Nelson W. Wolff Municipal Stadium,3268369,,5757 U.S. Highway 90 West,78227,29.41365,-98.60358,San Antonio,US,San Antonio
12342,Buffalo River Works,3690144,,359 Ganson St,14203,42.869917,-78.872638,Buffalo,US,Buffalo
12343,Centennial Terrace,18505,,5773 Centennial Road,43560,41.7170065,-83.7442209,Toledo,US,Sylvania
12344,The Crofoot Ballroom,2638,1100,1 South Saginaw Street,48342,42.6367415,-83.2917046,Detroit,US,Pontiac
12345,Rec Room,3933064,,79 W Chippewa,14202,42.89076,-78.87585,Buffalo,US,Buffalo
12346,The Rec Room Huntington Beach,3469039,,7227 Edinger Blvd.,92647,33.73143,-118.00182,Los Angeles,US,Huntington Beach
12347,Rec Room,256071,,,,,,Baltimore,US,Towson
12352,"Rec Room, Gale Hotel",2428029,,1690 Collins Avenue,33139,25.792144,-80.130073,Miami,US,Miami Beach
12353,The Rec Room,1667338,,5110 Tieton Dr,98908,46.592189,-120.577563,Tacoma,US,Yakima
12354,The Frank Rec Room,1238291,,407 Colorado St,78701,30.266964,-97.7445482,Austin,US,Austin
12355,Rec Room,3325449,,100 Jackson Street,77002,29.760006,-95.3539543,Houston,US,Houston
