,links,metro_code,postal_code,timezone,has_upcoming_events,id,city,stats,extended_address,display_location,state,score,location,access_method,num_upcoming_events,address,capacity,slug,name,url,country,popularity,name_v2,tm_venue
526,[],724,58102,America/Chicago,True,3628,Fargo,{'event_count': 58},"Fargo, ND 58102","Fargo, ND",ND,0.62762725,"{'lat': 46.8355, 'lon': -96.8755}",,58,5225 31st Ave South,6000,scheels-arena,Scheels Arena,https://seatgeek.com/venues/scheels-arena/tickets,US,0,Scheels Arena,Scheels Arena
527,[],724,58102,America/Chicago,True,36605,Fargo,{'event_count': 2},"Fargo, ND 58102","Fargo, ND",ND,0.0,"{'lat': 46.8783, 'lon': -96.7839}",,2,207 4th St N,0,fargo-civic-center,Fargo Civic Center,https://seatgeek.com/venues/fargo-civic-center/tickets,US,0,Fargo Civic Center,Fargo Civic Center
528,[],724,58201,America/Chicago,True,690,Grand Forks,{'event_count': 12},"Grand Forks, ND 58201","Grand Forks, ND",ND,0.644949,"{'lat': 47.9107, 'lon': -97.0911}",,12,1200 S. 42nd Street,21000,alerus-center,Alerus Center,https://seatgeek.com/venues/alerus-center/tickets,US,0,Alerus Center,Alerus Center
529,[],724,58401,America/Chicago,True,57588,Jamestown,{'event_count': 1},"Jamestown, ND 58401","Jamestown, ND",ND,0.0,"{'lat': 46.9101, 'lon': -98.7048}",,1,212 3rd Avenue Northeast,0,jamestown-civic-center,Jamestown Civic Center,https://seatgeek.com/venues/jamestown-civic-center/tickets,US,0,Jamestown Civic Center,Jamestown Civic Center
530,[],724,58201,America/Chicago,True,4509,Grand Forks,{'event_count': 2},"Grand Forks, ND 58201","Grand Forks, ND",ND,0.46323225,"{'lat': 47.9239, 'lon': -97.032}",,2,415 Demers Ave,0,empire-arts-center,Empire Arts Center,https://seatgeek.com/venues/empire-arts-center/tickets,US,0,Empire Arts Center,Empire Arts Center
531,[],515,45202,America/New_York,True,210,Cincinnati,{'event_count': 62},"Cincinnati, OH 45202","Cincinnati, OH",OH,0.69900626,"{'lat': 39.1031, 'lon': -84.512}","{'employee_only': False, 'created_at': '2019-02-05T21:41:26Z', 'method': 'QRCODE_TM'}",62,100 Broadway St,17000,us-bank-arena,US Bank Arena,https://seatgeek.com/venues/us-bank-arena/tickets,US,0,US Bank Arena,U.S. Bank Arena
532,[],535,43210,America/New_York,True,2739,Columbus,{'event_count': 5},"Columbus, OH 43210","Columbus, OH",OH,0.9037463,"{'lat': 40.0032, 'lon': -83.0195}","{'employee_only': False, 'created_at': '2015-09-11T20:06:47Z', 'method': 'QRCODE'}",5,411 Woody Hayes Dr.,104944,ohio-stadium,Ohio Stadium,https://seatgeek.com/venues/ohio-stadium/tickets,US,0,Ohio Stadium,Ohio Stadium
533,[],535,43210,America/New_York,True,99,Columbus,{'event_count': 73},"Columbus, OH 43210","Columbus, OH",OH,0.7017697,"{'lat': 40.0077, 'lon': -83.0251}","{'employee_only': False, 'created_at': '2016-01-18T16:51:11Z', 'method': 'QRCODE_TM'}",73,555 Borror Drive,20000,schottenstein-center,Schottenstein Center,https://seatgeek.com/venues/schottenstein-center/tickets,US,0,Schottenstein Center,Schottenstein Center
534,[],535,43215,America/New_York,True,430,Columbus,{'event_count': 59},"Columbus, OH 43215","Columbus, OH",OH,0.73346055,"{'lat': 39.9694, 'lon': -83.0064}","{'employee_only': False, 'created_at': '2017-10-20T21:02:37Z', 'method': 'NONE'}",59,200 West Nationwide Boulevard,19500,nationwide-arena,Nationwide Arena,https://seatgeek.com/venues/nationwide-arena/tickets,US,0,Nationwide Arena,Nationwide Arena
535,[],536,44503,America/New_York,True,630,Youngstown,{'event_count': 53},"Youngstown, OH 44503","Youngstown, OH",OH,0.62045866,"{'lat': 41.0957, 'lon': -80.6493}",,53,229 East Front Street,5700,covelli-centre,Covelli Centre,https://seatgeek.com/venues/covelli-centre/tickets,US,0,Covelli Centre,Covelli Centre
536,[],542,45435,America/New_York,True,1622,Dayton,{'event_count': 46},"Dayton, OH 45435","Dayton, OH",OH,0.65861624,"{'lat': 39.7747, 'lon': -84.0797}",,46,3640 Colonel Glenn Highway,10400,wright-state-university-nutter-center,Wright State University Nutter Center,https://seatgeek.com/venues/wright-state-university-nutter-center/tickets,US,0,Wright State University Nutter Center,Wright State University Nutter Center
